FCODE,atoll,islandName,capital,islandNa_1,longitude,latitude,Area_ha,category,Sector,Usage,PrimAgency
LD0874,Alifu Alifu,Himandhoo,N,ހިމަންދޫ,"72° 44' 39.243"" E","3° 55' 15.848"" N",20.958977,Residential Island, , , 
LD0893,Alifu Alifu,Kudafolhudhoo,N,ކުޑަފޮޅުދޫ,"72° 46' 0.301"" E","4° 10' 52.882"" N",5.348472,Tourism Island,Tourism,Resort,MoT
LD0916,Alifu Alifu,Ukulhas,N,އުކުޅަސް,"72° 51' 50.906"" E","4° 12' 53.697"" N",23.749664,Residential Island, , , 
LD0964,Alifu Alifu,Gaagan'du,N,ގާގަނޑު,"72° 51' 53.967"" E","4° 13' 57.773"" N",0.071722,Uninhabited Island, , , 
LD0997,Alifu Alifu,Gaathafushi,N,ގާތަފުށި,"72° 48' 38.547"" E","4° 1' 25.318"" N",1.083756,Tourism Island,Tourism, ,MoT
LD1002,Alifu Alifu,Fesdhoo,N,ފެސްދޫ,"72° 48' 39.611"" E","4° 0' 24.757"" N",4.965637,Tourism Island,Tourism,Resort,MoT
LD1080,Alifu Alifu,Bathalaa,N,ބަތަލާ,"72° 56' 44.859"" E","4° 4' 13.233"" N",3.203231,Tourism Island,Tourism,Resort,MoT
LD1021,Alifu Alifu,Fusfinolhu,N,ފުސްފިނޮޅު,"72° 57' 30.260"" E","4° 1' 8.362"" N",0.011952,Uninhabited Island, , , 
LD1139,Alifu Alifu,Kuramathi,N,ކުރަމަތި,"72° 58' 39.999"" E","4° 15' 35.512"" N",31.182256,Tourism Island,Tourism,Resort,MoT
LD1154,Alifu Alifu,Dhinnolhufinolhu,N,ދިންނޮޅުފިނޮޅު,"72° 43' 57.410"" E","4° 8' 18.866"" N",0.496554,Uninhabited Island, ,Varuva,MoFMRA
LD1342,Alifu Alifu, ,N, ,"72° 56' 30.324"" E","4° 7' 10.932"" N",0.536076,Uninhabited Island, , , 
LD1343,Alifu Alifu, ,N, ,"72° 56' 49.139"" E","3° 57' 9.238"" N",0.653644,Uninhabited Island, , , 
LD1346,Alifu Alifu, ,N, ,"72° 45' 59.199"" E","4° 10' 57.045"" N",0.0341,Uninhabited Island, , , 
LD1455,Alifu Alifu, ,N, ,"73° 0' 28.767"" E","4° 16' 51.797"" N",0.336669,Uninhabited Island, , , 
LD1456,Alifu Alifu, ,N, ,"73° 0' 14.344"" E","4° 16' 30.254"" N",0.106947,Uninhabited Island, , , 
LD0356,Alifu Alifu,Mathivereefinolhu,N,މަތިވެރީފިނޮޅު,"72° 45' 0.011"" E","4° 11' 9.211"" N",2.86149,Tourism Island,Tourism,Resort,MoT
LD0807,Alifu Alifu,Veligan'du,N,ވެލިގަނޑު,"73° 0' 40.883"" E","4° 17' 55.269"" N",6.596679,Tourism Island,Tourism,Resort,MoT
LD1577,Alifu Alifu, ,N, ,"72° 55' 57.484"" E","4° 6' 58.207"" N",0.213536,Uninhabited Island, , , 
LD1578,Alifu Alifu, ,N, ,"72° 48' 48.262"" E","4° 11' 34.724"" N",0.061524,Uninhabited Island, , , 
LD1579,Alifu Alifu, ,N, ,"72° 56' 54.193"" E","3° 59' 54.696"" N",0.390946,Uninhabited Island, , , 
LD1580,Alifu Alifu, ,N, ,"72° 45' 39.470"" E","4° 10' 36.084"" N",0.095635,Uninhabited Island, , , 
LD1581,Alifu Alifu, ,N, ,"72° 44' 35.582"" E","3° 55' 27.361"" N",0.166739,Uninhabited Island, , , 
LD1582,Alifu Alifu, ,N, ,"72° 54' 33.032"" E","4° 5' 1.247"" N",0.82764,Uninhabited Island, , , 
LD1583,Alifu Alifu, ,N, ,"72° 46' 29.289"" E","3° 58' 11.593"" N",0.087415,Uninhabited Island, , , 
LD0009,Alifu Dhaalu,Omadhoo,N,އޮމަދޫ,"72° 57' 43.434"" E","3° 47' 29.825"" N",22.822959,Residential Island, , , 
LD0021,Alifu Dhaalu,Ariyadhoo,N,އަރިޔަދޫ,"72° 51' 18.320"" E","3° 28' 30.606"" N",27.723512,Industrial Island,Agriculture,Agriculture,MoFMRA
LD0080,Alifu Dhaalu,Dhiffushi,N,ދިއްފުށި,"72° 49' 29.500"" E","3° 28' 31.095"" N",16.468478,Tourism Island,Tourism,Resort,MoT
LD0089,Alifu Dhaalu,Innafushi,N,އިންނަފުށި,"72° 43' 56.766"" E","3° 47' 51.978"" N",3.415437,Tourism Island,Tourism,Resort,MoT
LD0120,Alifu Dhaalu,Dhiggiri,N,ދިއްގިރި,"72° 54' 53.215"" E","3° 51' 30.184"" N",0.632499,Uninhabited Island, ,Varuva,MoFMRA
LD0126,Alifu Dhaalu,Bodukaashihuraa,N,ބޮޑުކާށިހުރާ,"72° 57' 16.678"" E","3° 52' 34.252"" N",2.2305,Uninhabited Island, , ,MoT
LD0165,Alifu Dhaalu,Hurasdhoo,N,ހުރަސްދޫ,"72° 46' 29.162"" E","3° 40' 0.991"" N",2.846073,Uninhabited Island, , ,MoECCT
LD0168,Alifu Dhaalu,Mandhoo,N,މަންދޫ,"72° 42' 35.230"" E","3° 41' 52.296"" N",38.501574,Residential Island, , , 
LD0170,Alifu Dhaalu,Rangaleefinolhu,N,ރަންގަލީފިނޮޅު,"72° 42' 56.624"" E","3° 36' 59.182"" N",9.018633,Tourism Island,Tourism,Resort,MoT
LD0175,Alifu Dhaalu,Theluveligaa,N,ތެލުވެލިގާ,"72° 54' 9.402"" E","3° 40' 11.421"" N",1.408792,Tourism Island,Tourism,Resort,MoT
LD0214,Alifu Dhaalu,Rangali,N,ރަންގަލި,"72° 43' 24.106"" E","3° 37' 5.624"" N",11.262342, , , ,MoT
LD0220,Alifu Dhaalu,Bodufinolhu,N,ބޮޑުފިނޮޅު,"72° 45' 38.121"" E","3° 29' 42.832"" N",8.255198,Tourism Island,Tourism,Resort,MoT
LD0263,Alifu Dhaalu,Vilamendhoo,N,ވިލަމެންދޫ,"72° 57' 31.109"" E","3° 38' 1.562"" N",11.413981,Tourism Island,Tourism,Resort,MoT
LD0273,Alifu Dhaalu,Dhan'gethi,N,ދަނގެތި,"72° 57' 21.735"" E","3° 36' 27.529"" N",30.166662,Residential Island, , , 
LD0316,Alifu Dhaalu,Angaagau,N,އަންގާގައު,"72° 49' 19.125"" E","3° 39' 7.795"" N",4.638032,Tourism Island,Tourism,Resort,MoT
LD0364,Alifu Dhaalu, ,N, ,"72° 58' 16.450"" E","3° 46' 5.260"" N",0.310977,Uninhabited Island, , , 
LD0388,Alifu Dhaalu,Huruelhi,N,ހުރުއެޅި,"72° 43' 10.538"" E","3° 32' 39.086"" N",7.205173,Tourism Island,Tourism,Resort,MoT
LD0419,Alifu Dhaalu,Huvahendhoo,N,ހުވަހެންދޫ,"72° 57' 13.804"" E","3° 39' 13.399"" N",6.041932,Tourism Island,Tourism,Resort,MoT
LD0452,Alifu Dhaalu,Heenfaru,N,ހީންފަރު,"72° 49' 44.618"" E","3° 49' 9.346"" N",0.832499,Tourism Island,Tourism,Resort,MoT
LD0459,Alifu Dhaalu,Dhidhdhoo,N,ދިއްދޫ,"72° 52' 42.997"" E","3° 29' 4.457"" N",20.305146,Residential Island, , , 
LD0461,Alifu Dhaalu,Mirihi,N,މިރިހި,"72° 46' 50.019"" E","3° 37' 10.549"" N",3.640979,Tourism Island,Tourism,Resort,MoT
LD0513,Alifu Dhaalu,Fenfushi,N,ފެންފުށި,"72° 46' 58.750"" E","3° 29' 21.020"" N",25.640855,Residential Island, , , 
LD0529,Alifu Dhaalu,Tholhifushi,N,ތޮޅިފުށި,"72° 47' 23.710"" E","3° 29' 6.145"" N",2.667914,Tourism Island,Tourism, ,MoT
LD0581,Alifu Dhaalu,Kudarah,N,ކުޑަރަށް,"72° 54' 38.744"" E","3° 34' 26.162"" N",4.267973,Tourism Island,Tourism,Resort,MoT
LD0610,Alifu Dhaalu,Vakarufalhi,N,ވަކަރުފަޅި,"72° 54' 7.867"" E","3° 34' 43.385"" N",5.506369,Tourism Island,Tourism,Resort,MoT
LD0641,Alifu Dhaalu,Kudadhoo,N,ކުޑަދޫ,"72° 52' 18.818"" E","3° 28' 45.125"" N",0.224522,Uninhabited Island, , ,Council
LD0725,Alifu Dhaalu,Nalaguraidhoo,N,ނަލަގުރައިދޫ,"72° 48' 7.795"" E","3° 28' 59.735"" N",55.044026,Tourism Island,Tourism,Resort,MoT
LD0771,Alifu Dhaalu,Kun'burudhoo,N,ކުނބުރުދޫ,"72° 55' 28.994"" E","3° 46' 31.700"" N",6.507178,Residential Island, , , 
LD1102,Alifu Dhaalu,Hiyafushi,N,ހިޔަފުށި,"72° 52' 13.921"" E","3° 28' 45.885"" N",1.056135,Uninhabited Island, , ,Council
LD1007,Alifu Dhaalu,Dhihdhoofinolhu,N,ދިއްދޫފިނޮޅު,"72° 53' 47.992"" E","3° 29' 54.922"" N",17.553549,Tourism Island,Tourism,Resort,MoT
LD1337,Alifu Dhaalu,Ranfinolhu,N,ރަންފިނޮޅު,"72° 43' 38.747"" E","3° 36' 39.316"" N",3.116504,Uninhabited Island, , , 
LD1047,Alifu Dhaalu,Dhigurah,N,ދިގުރަށް,"72° 55' 25.897"" E","3° 31' 40.415"" N",55.048316,Residential Island, , , 
LD1093,Alifu Dhaalu,Hukurudhoo,N,ހުކުރުދޫ,"72° 43' 7.301"" E","3° 34' 13.246"" N",14.118336,Industrial Island,Agriculture, ,MoFMRA
LD1336,Alifu Dhaalu, ,N, ,"72° 52' 1.118"" E","3° 35' 29.210"" N",0.037286,Uninhabited Island, , , 
LD1062,Alifu Dhaalu,Mahchafushi,N,މައްޗަފުށި,"72° 53' 0.705"" E","3° 35' 37.858"" N",4.637307,Tourism Island,Tourism,Resort,MoT
LD0966,Alifu Dhaalu,Lonuboi,N,ލޮނުބޮއި,"72° 54' 3.280"" E","3° 36' 11.670"" N",1.197831,Tourism Island,Tourism, ,MoT
LD1176,Alifu Dhaalu,Maafushivaru,N,މާފުށިވަރު,"72° 54' 0.915"" E","3° 36' 28.516"" N",3.184805,Tourism Island,Tourism,Resort,MoT
LD1010,Alifu Dhaalu,Vilin'gilivaru,N,ވިލިނގިލިވަރު,"72° 57' 18.483"" E","3° 37' 8.511"" N",3.245918,Tourism Island,Tourism, ,MoT
LD1338,Alifu Dhaalu, ,N, ,"72° 47' 22.156"" E","3° 42' 33.224"" N",1.437275,Uninhabited Island, , , 
LD1131,Alifu Dhaalu,Fushidhigga,N,ފުށިދިއްގަ,"72° 46' 14.079"" E","3° 45' 28.501"" N",2.019956,Uninhabited Island, , ,Atoll Council
LD1198,Alifu Dhaalu,Thun'dufushi,N,ތުނޑުފުށި,"72° 43' 50.406"" E","3° 47' 10.447"" N",3.844039,Tourism Island,Tourism,Resort,MoT
LD0782,Alifu Dhaalu,Kalhahan'dhihuraa,N,ކަޅަހަނދިހުރާ,"72° 42' 38.675"" E","3° 47' 53.151"" N",1.214197,Uninhabited Island, , ,MoFMRA
LD0784,Alifu Dhaalu,En'boodhoo,N,އެނބޫދޫ,"72° 45' 8.671"" E","3° 48' 54.647"" N",1.997857,Uninhabited Island, , ,Atoll Council
LD1023,Alifu Dhaalu,Hangnaameedhoo,N,ހަންޏާމީދޫ,"72° 57' 19.215"" E","3° 50' 57.429"" N",20.310461,Residential Island, , , 
LD1339,Alifu Dhaalu, ,N, ,"72° 44' 37.761"" E","3° 51' 58.519"" N",0.012406,Uninhabited Island, , , 
LD0900,Alifu Dhaalu,Moofushi,N,މޫފުށި,"72° 43' 35.185"" E","3° 53' 6.262"" N",7.644527,Tourism Island,Tourism,Resort,MoT
LD1147,Alifu Dhaalu,Athurugau,N,އަތުރުގައު,"72° 48' 58.116"" E","3° 53' 13.929"" N",3.132407,Tourism Island,Tourism,Resort,MoT
LD1340,Alifu Dhaalu, ,N, ,"72° 53' 22.783"" E","3° 53' 23.172"" N",0.611083,Uninhabited Island, , , 
LD1341,Alifu Dhaalu, ,N, ,"72° 53' 52.293"" E","3° 54' 8.829"" N",0.039653,Uninhabited Island, , , 
LD1348,Alifu Dhaalu, ,N, ,"72° 56' 26.738"" E","3° 51' 21.494"" N",0.035181,Uninhabited Island, , , 
LD1350,Alifu Dhaalu, ,N, ,"72° 58' 48.329"" E","3° 42' 54.408"" N",0.077349,Uninhabited Island, , , 
LD1351,Alifu Dhaalu, ,N, ,"72° 58' 46.552"" E","3° 42' 0.267"" N",0.133018,Uninhabited Island, , , 
LD1505,Alifu Dhaalu,Athulivarufinolhu,N,އަތުލިވަރުފިނޮޅު,"72° 57' 20.519"" E","3° 38' 52.176"" N",0.095647,Uninhabited Island, ,Varuva,MoFMRA
LD1584,Alifu Dhaalu, ,N, ,"72° 57' 49.780"" E","3° 38' 1.154"" N",0.218161,Uninhabited Island, , , 
LD1585,Alifu Dhaalu, ,N, ,"72° 44' 29.912"" E","3° 51' 5.753"" N",2.742197,Uninhabited Island, , , 
LD1586,Alifu Dhaalu, ,N, ,"72° 57' 34.300"" E","3° 37' 43.573"" N",0.197896,Uninhabited Island, , , 
LD1587,Alifu Dhaalu, ,N, ,"72° 57' 31.841"" E","3° 37' 43.736"" N",0.184481,Uninhabited Island, , , 
LD1588,Alifu Dhaalu, ,N, ,"72° 55' 2.126"" E","3° 36' 35.505"" N",0.737356,Uninhabited Island, , , 
LD1589,Alifu Dhaalu, ,N, ,"72° 49' 52.421"" E","3° 32' 20.407"" N",0.072721,Uninhabited Island, , , 
LD1590,Alifu Dhaalu, ,N, ,"72° 53' 1.460"" E","3° 31' 48.956"" N",0.044634,Uninhabited Island, , , 
LD1591,Alifu Dhaalu, ,N, ,"72° 53' 33.373"" E","3° 33' 9.230"" N",0.060887,Uninhabited Island, , , 
LD1592,Alifu Dhaalu, ,N, ,"72° 52' 3.050"" E","3° 34' 26.233"" N",0.354027,Uninhabited Island, , , 
LD1593,Alifu Dhaalu, ,N, ,"72° 48' 56.986"" E","3° 36' 11.066"" N",0.019219,Uninhabited Island, , , 
LD1594,Alifu Dhaalu, ,N, ,"72° 56' 26.712"" E","3° 36' 42.758"" N",0.21683,Uninhabited Island, , , 
LD1595,Alifu Dhaalu, ,N, ,"72° 43' 32.186"" E","3° 47' 19.752"" N",0.128113,Uninhabited Island, , , 
LD1596,Alifu Dhaalu, ,N, ,"72° 57' 30.341"" E","3° 36' 42.063"" N",0.013618,Uninhabited Island, , , 
LD1597,Alifu Dhaalu, ,N, ,"72° 57' 28.493"" E","3° 36' 41.616"" N",0.008004,Uninhabited Island, , , 
LD1598,Alifu Dhaalu, ,N, ,"72° 58' 26.131"" E","3° 45' 25.932"" N",0.169358,Uninhabited Island, , , 
LD1599,Alifu Dhaalu, ,N, ,"72° 48' 7.339"" E","3° 29' 16.323"" N",0.565432,Uninhabited Island, , , 
LD1600,Alifu Dhaalu, ,N, ,"72° 47' 35.875"" E","3° 29' 13.472"" N",0.218066,Uninhabited Island, , , 
LD1601,Alifu Dhaalu, ,N, ,"72° 52' 16.075"" E","3° 28' 39.157"" N",0.04928,Uninhabited Island, , , 
LD1602,Alifu Dhaalu, ,N, ,"72° 52' 52.672"" E","3° 35' 32.376"" N",0.196976,Uninhabited Island, , , 
LD1603,Alifu Dhaalu, ,N, ,"72° 43' 54.073"" E","3° 52' 43.385"" N",0.114415,Uninhabited Island, , , 
LD1604,Alifu Dhaalu, ,N, ,"72° 47' 34.477"" E","3° 29' 8.379"" N",0.067134,Uninhabited Island, , , 
LD1605,Alifu Dhaalu, ,N, ,"72° 47' 38.416"" E","3° 29' 11.612"" N",0.055949,Uninhabited Island, , , 
LD1606,Alifu Dhaalu, ,N, ,"72° 54' 59.803"" E","3° 30' 54.979"" N",0.052145,Uninhabited Island, , , 
LD1607,Alifu Dhaalu, ,N, ,"72° 54' 58.521"" E","3° 30' 55.040"" N",0.054962,Uninhabited Island, , , 
LD0594,Baa,Gaagan'dufaruhuraa,N,ގާގަނޑުފަރުހުރާ,"73° 3' 39.036"" E","5° 22' 9.174"" N",0.108856,Uninhabited Island, , ,MoECCT
LD1211,Baa,Bathalaahuraa,N,ބަތަލާހުރާ,"73° 3' 43.180"" E","5° 21' 26.603"" N",0.801144,Uninhabited Island, , ,Atoll Council
LD0055,Baa,Bathalaa,N,ބަތަލާ,"73° 4' 5.429"" E","5° 21' 11.939"" N",1.762063,Uninhabited Island, , ,MoECCT
LD1549,Baa, ,N, ,"73° 4' 8.255"" E","5° 20' 54.691"" N",0.024539,Uninhabited Island, , , 
LD1550,Baa, ,N, ,"73° 4' 25.304"" E","5° 21' 13.208"" N",0.018459,Uninhabited Island, , , 
LD0742,Baa,Vinaneiyfaruhuraa,N,ވިނަނެތްފަރުހުރާ,"73° 4' 43.378"" E","5° 20' 46.317"" N",0.15063,Uninhabited Island, , ,MoECCT
LD1210,Baa, ,N, ,"73° 4' 31.582"" E","5° 20' 30.310"" N",0.102837,Uninhabited Island, , , 
LD0781,Baa, ,N, ,"73° 5' 10.165"" E","5° 19' 31.559"" N",3.598788,Uninhabited Island, , , 
LD0654,Baa,Voavah,N,ވޯވައް,"73° 4' 39.448"" E","5° 18' 58.853"" N",3.082601,Tourism Island,Tourism,Resort,MoT
LD0059,Baa,Kudarikilu,N,ކުޑަރިކިލު,"73° 4' 14.997"" E","5° 18' 1.510"" N",18.92569,Residential Island, , , 
LD1061,Baa,Kihavahhuravalhi,N,ކިހަވައްހުރަވަޅި,"73° 3' 25.577"" E","5° 17' 46.295"" N",15.449922,Tourism Island,Tourism,Resort,MoT
LD1230,Baa, ,N, ,"73° 0' 46.270"" E","5° 17' 52.048"" N",0.1369,Uninhabited Island, , , 
LD0937,Baa,Boifushi,N,ބޮއިފުށި,"72° 59' 37.815"" E","5° 17' 52.189"" N",0.619176,Tourism Island,Tourism, ,MoT
LD1137,Baa,Kashidhoo,N,ކަށިދޫ,"72° 58' 7.328"" E","5° 17' 49.841"" N",6.608706,Industrial Island,Agriculture,Mixed Usage,MoFMRA
LD1208,Baa, ,N, ,"72° 57' 49.324"" E","5° 17' 42.981"" N",0.031108,Uninhabited Island, , , 
LD1209,Baa, ,N, ,"72° 57' 18.905"" E","5° 17' 58.306"" N",1.742012,Uninhabited Island, , , 
LD0256,Baa,Lan'daagiraavaru,N,ލަނޑާގިރާވަރު,"73° 6' 42.776"" E","5° 17' 9.812"" N",21.612439,Tourism Island,Tourism,Resort,MoT
LD1229,Baa, ,N, ,"73° 5' 47.627"" E","5° 17' 1.782"" N",3.630237,Uninhabited Island, , , 
LD0264,Baa,Un'doodhoo,N,އުނޑޫދޫ,"73° 2' 32.784"" E","5° 16' 28.757"" N",12.904623,Industrial Island,Agriculture, ,MoFMRA
LD0776,Baa,Funadhoo,N,ފުނަދޫ,"73° 1' 59.275"" E","5° 16' 28.670"" N",12.462911,Tourism Island,Tourism,Resort,MoT
LD0226,Baa,Hulhudhoo,N,ހުޅުދޫ,"73° 1' 30.571"" E","5° 16' 29.684"" N",4.179721,Uninhabited Island, , ,MoFMRA
LD0502,Baa,Gemendhoo,N,ގެމެންދޫ,"73° 1' 11.255"" E","5° 16' 32.157"" N",1.895214,Uninhabited Island, , ,Council
LD0668,Baa,Kendhoo,N,ކެންދޫ,"73° 0' 35.923"" E","5° 16' 31.419"" N",19.015349,Residential Island, , , 
LD1115,Baa,Keyodhoo,N,ކެޔޮދޫ,"72° 59' 45.708"" E","5° 16' 35.839"" N",3.257111,Uninhabited Island, ,Varuva,MoFMRA
LD0687,Baa,Dhakandhoo,N,ދަކަންދޫ,"72° 53' 37.146"" E","5° 14' 54.187"" N",5.733043,Uninhabited Island, , ,MoFMRA
LD0252,Baa,Fares,N,ފަރެސް,"72° 52' 38.174"" E","5° 13' 55.699"" N",13.158615,Tourism Island,Tourism,Resort,MoT
LD0861,Baa,Ahivaffushi,N,އަހިވައްފުށި,"72° 51' 25.168"" E","5° 13' 42.589"" N",0.312543,Uninhabited Island, , ,Atoll Council
LD1551,Baa, ,N, ,"72° 52' 34.923"" E","5° 13' 4.816"" N",0.157127,Uninhabited Island, , , 
LD0162,Baa,Velavaru,N,ވެލަވަރު,"72° 55' 14.690"" E","5° 12' 24.038"" N",0.208053,Uninhabited Island, , , 
LD1504,Baa,Finolhufaru,N,ފިނޮޅުފަރު,"72° 56' 4.644"" E","5° 11' 2.160"" N",0.025725,Uninhabited Island, ,Varuva,MoFMRA
LD1552,Baa, ,N, ,"72° 55' 35.319"" E","5° 10' 15.456"" N",0.121234,Uninhabited Island, , , 
LD0958,Baa,Nibiligaa,N,ނިބިލިގާ,"72° 56' 38.967"" E","5° 10' 27.062"" N",1.592583,Uninhabited Island, , ,MoECCT
LD0833,Baa,Mendhoo,N,މެންދޫ,"72° 59' 43.905"" E","5° 10' 29.877"" N",14.763287,Tourism Island,Tourism, ,MoT
LD1222,Baa, ,N, ,"73° 1' 55.786"" E","5° 10' 51.999"" N",2.764025,Uninhabited Island, , , 
LD1225,Baa, ,N, ,"73° 2' 29.258"" E","5° 10' 1.282"" N",0.799257,Uninhabited Island, , , 
LD0991,Baa, ,N, ,"73° 3' 25.679"" E","5° 10' 2.028"" N",1.66211,Uninhabited Island, , , 
LD1223,Baa, ,N, ,"73° 3' 43.823"" E","5° 9' 55.871"" N",0.078649,Uninhabited Island, , , 
LD1553,Baa, ,N, ,"73° 3' 49.869"" E","5° 9' 52.553"" N",0.023166,Uninhabited Island, , , 
LD0185,Baa,Horubadhoo,N,ހޮރުބަދޫ,"73° 3' 9.866"" E","5° 9' 45.657"" N",16.490933,Tourism Island,Tourism,Resort,MoT
LD1224,Baa,An'gaafaru,N,އަނގާފަރު,"73° 5' 57.251"" E","5° 10' 39.006"" N",1.659028,Uninhabited Island, , , 
LD1015,Baa,Mudhdhoo,N,މުއްދޫ,"73° 5' 5.018"" E","5° 12' 24.021"" N",18.92602,Tourism Island,Tourism,Resort,MoT
LD1041,Baa,Finolhas,N,ފިނޮޅަސް,"73° 6' 49.114"" E","5° 14' 1.961"" N",24.484782,Tourism Island,Tourism, ,MoT
LD1217,Baa, ,N, ,"73° 7' 12.008"" E","5° 15' 12.048"" N",0.603506,Uninhabited Island, , , 
LD1075,Baa,Milaidhoo,N,މިލައިދޫ,"73° 7' 42.513"" E","5° 16' 1.606"" N",5.51469,Tourism Island,Tourism,Resort,MoT
LD0518,Baa,Kamadhoo,N,ކަމަދޫ,"73° 8' 13.131"" E","5° 16' 55.323"" N",21.348633,Residential Island, , , 
LD0841,Baa,Madhirivaadhoo,N,މަދިރިވާދޫ,"73° 9' 40.551"" E","5° 16' 8.023"" N",5.1747,Uninhabited Island, ,Varuva,MoFMRA
LD0608,Baa,Thiladhoo,N,ތިލަދޫ,"73° 9' 18.917"" E","5° 15' 43.933"" N",4.697213,Tourism Island,Tourism,Resort,MoT
LD1216,Baa,Dhoogan'dufinolhu,N,ދޫގަނޑުފިނޮޅު,"73° 9' 7.115"" E","5° 14' 50.641"" N",0.36693,Uninhabited Island, , , 
LD0076,Baa,Dhigudhefaru,N,ދިގުދެފަރު,"73° 8' 20.907"" E","5° 14' 6.402"" N",3.70482,Tourism Island,Tourism,Resort,MoT
LD0769,Baa,Veyofushi,N,ވެޔޮފުށި,"73° 9' 22.422"" E","5° 13' 46.402"" N",0.307479,Uninhabited Island, , ,MoFMRA
LD0363,Baa,Kihaadhoo,N,ކިހާދޫ,"73° 7' 30.358"" E","5° 12' 54.677"" N",30.772466,Residential Island, , , 
LD0451,Baa,Fonimagoodhoo,N,ފޮނިމަގޫދޫ,"73° 9' 48.701"" E","5° 15' 18.586"" N",11.213478,Tourism Island,Tourism,Resort,MoT
LD0910,Baa,Dhandhoo,N,ދަންދޫ,"73° 10' 6.221"" E","5° 14' 9.287"" N",2.52308,Tourism Island,Tourism,Resort,MoT
LD1218,Baa, ,N, ,"73° 11' 27.947"" E","5° 14' 25.967"" N",0.179305,Uninhabited Island, , , 
LD1219,Baa,Vandhuhmaafarufinolhu,N,ވަންދުއްމާފަރުފިނޮޅު,"73° 11' 27.454"" E","5° 14' 14.310"" N",0.174816,Uninhabited Island, , ,MoFMRA
